DateTime,B-Voltage,B-Current,B-Temperature,V-Change,I-Change,T-Change,B-Resistance,V-Gradient,VDRt,Year,UPS_Operation_Mode,CumulativeTime,ChargeorDischargeCapacity,DischargeCapacity,ModeChange,dQ/dV
4/13/2016 14:12,216,0,93,0,0,0,0,0,0,2016,Online,7135.2,0,0,0,0
4/13/2016 14:17,216,0,93,0,0,0,0,0,0,2016,Online,7140.216667,0,0,0,0
4/13/2016 14:22,216,0,91,0,0,0,0,0,0,2016,Online,7145.2,0,0,0,0
4/13/2016 14:27,216,0,91,0,0,0,0,0,0,2016,Online,7150.216667,0,0,0,0
4/13/2016 14:32,216,0,93,0,0,0,0,0,0,2016,Online,7155.216667,0,0,0,0
4/13/2016 14:37,216,0,95,0,0,0,0,0,0,2016,Online,7160.233333,0,0,0,0
4/13/2016 14:42,216,0,93,0,0,0,0,0,0,2016,Online,7165.25,0,0,0,0
4/13/2016 14:47,216,0,91,0,0,0,0,0,0,2016,Online,7170.233333,0,0,0,0
4/13/2016 14:52,216,0,93,0,0,0,0,0,0,2016,Online,7175.216667,0,0,0,0
4/13/2016 14:57,216,0,95,0,0,0,0,0,0,2016,Online,7180.233333,0,0,0,0
4/13/2016 15:02,216,0,93,0,0,0,0,0,0,2016,Online,7185.233333,0,0,0,0
4/13/2016 15:07,216,0,93,0,0,0,0,0,0,2016,Online,7190.216667,0,0,0,0
4/13/2016 15:12,216,0,91,0,0,0,0,0,0,2016,Online,7195.216667,0,0,0,0
4/13/2016 15:17,216,0,93,0,0,0,0,0,0,2016,Online,7200.2,0,0,0,0
4/13/2016 15:22,216,0,93,0,0,0,0,0,0,2016,Online,7205.2,0,0,0,0
4/13/2016 15:27,216,0,93,0,0,0,0,0,0,2016,Online,7210.2,0,0,0,0
4/13/2016 15:32,216,0,93,0,0,0,0,0,0,2016,Online,7215.2,0,0,0,0
4/13/2016 15:37,216,0,95,0,0,0,0,0,0,2016,Online,7220.183333,0,0,0,0
4/13/2016 15:42,216,0,93,0,0,0,0,0,0,2016,Online,7225.166667,0,0,0,0
4/13/2016 15:47,216,0,91,0,0,0,0,0,0,2016,Online,7230.166667,0,0,0,0
4/13/2016 15:52,216,0,93,0,0,0,0,0,0,2016,Online,7235.15,0,0,0,0
4/13/2016 15:57,216,0,95,0,0,0,0,0,0,2016,Online,7240.15,0,0,0,0
4/13/2016 16:02,216,0,93,0,0,0,0,0,0,2016,Online,7245.15,0,0,0,0
4/13/2016 16:07,216,0,91,0,0,0,0,0,0,2016,Online,7250.166667,0,0,0,0
4/13/2016 16:12,216,0,91,0,0,0,0,0,0,2016,Online,7255.183333,0,0,0,0
4/13/2016 16:17,216,0,93,0,0,0,0,0,0,2016,Online,7260.2,0,0,0,0
4/13/2016 16:22,216,0,95,0,0,0,0,0,0,2016,Online,7265.2,0,0,0,0
4/13/2016 16:27,216,0,93,0,0,0,0,0,0,2016,Online,7270.216667,0,0,0,0
4/13/2016 16:32,216,0,91,0,0,0,0,0,0,2016,Online,7275.216667,0,0,0,0
